"","AGE","LocFit","MEAN(of_boot)","0.05","0.95"
"242",4770,0.0538680467503988,0.0511876121050913,-0.131541169865852,0.236557406684223
"243",4790,0.0442862230057418,0.0418180232982402,-0.136042998886094,0.229749366912559
"244",4810,0.0331250584271904,0.0308900218516388,-0.14318926031694,0.208331286792571
"245",4830,0.0203597584409198,0.018417903326041,-0.151644612261341,0.190946045642506
"246",4850,0.00615948441251621,0.0046159091738493,-0.166469979783494,0.178215446802787
"247",4870,-0.00796049174024095,-0.00912531390985831,-0.177892284737112,0.166273031569438
"248",4890,-0.0216273253070869,-0.0224798212365558,-0.191633124963707,0.150598041689766
"249",4910,-0.0347845050070178,-0.0353867174653087,-0.202926342655706,0.139774219861867
"250",4930,-0.04737551955903,-0.0477851072551824,-0.214193645502283,0.126451034679146
"251",4950,-0.0593438576821197,-0.0596140952652426,-0.226030628496982,0.121324759471208
"252",4970,-0.0706330080952832,-0.0708127861545547,-0.241481694383763,0.117285805385819
"253",4990,-0.0811864595175167,-0.0813202845821842,-0.258554265053314,0.111365036900964
"254",5010,-0.0909477006678165,-0.0910756952071966,-0.27164820138652,0.106953935530637
"255",5030,-0.0998602202651788,-0.100018122688657,-0.28533275597004,0.103467381660445
"256",5050,-0.1078675070286,-0.108086671685632,-0.298487204544544,0.0998087396539558
"257",5070,-0.114913049677076,-0.115220446857186,-0.310078103657422,0.0984267341381837
"258",5090,-0.120940336929603,-0.121358552862386,-0.321587227210155,0.0993430771324401
"259",5110,-0.125892857505178,-0.126440094360295,-0.329604796585513,0.0981969925828514
"260",5130,-0.129714100122797,-0.130404176009981,-0.333702425426754,0.0999156828184106
"261",5150,-0.132347553501455,-0.133189912530743,-0.337338414990392,0.101548586524041
"262",5170,-0.13373670636015,-0.134737195309517,-0.338474093236448,0.105846578559637
"263",5190,-0.133825047417878,-0.134992149186871,-0.338782163134838,0.106344148409582
"264",5210,-0.132556065393634,-0.133908405484086,-0.336783429318013,0.105434546434693
"265",5230,-0.130201189760608,-0.131809203568246,-0.333768039061394,0.11003071334691
"266",5250,-0.127975545751286,-0.129824236134827,-0.328559816641691,0.111540946991656
"267",5270,-0.12602628566237,-0.128086705170184,-0.329459082215707,0.110684732969922
"268",5290,-0.124384557636802,-0.126629390462881,-0.327023550174246,0.109834560561502
"269",5310,-0.123081509817525,-0.125485071801483,-0.321253869390251,0.109775562012621
"270",5330,-0.12214829034748,-0.124686528974552,-0.323571352039826,0.109310982221256
"271",5350,-0.121616047369609,-0.124266541770654,-0.319898488316857,0.104198458606585
"272",5370,-0.121515929026854,-0.124257889978352,-0.314973665833311,0.0968768044810649
"273",5390,-0.121879083462158,-0.12469335338621,-0.316199408319557,0.0925127954032498
"274",5410,-0.122736658818461,-0.125605711782793,-0.316210733449419,0.0882202354999211
"275",5430,-0.124119803238706,-0.127027744956663,-0.317537439848478,0.0841940103619255
"276",5450,-0.126059664865835,-0.128992232696385,-0.32085656988637,0.0806494246347042
"277",5470,-0.12858739184279,-0.131531954790524,-0.32267234175066,0.0726877218207395
"278",5490,-0.131734132312513,-0.134679691027643,-0.323350201040765,0.0664986458348873
"279",5510,-0.135531034417945,-0.138468221196305,-0.328041772972747,0.059206117375943
"280",5530,-0.140009246302029,-0.142929671923063,-0.332704459017446,0.0522407415371984
"281",5550,-0.145199916107706,-0.148092281345455,-0.339703636442402,0.0453920151971684
"282",5570,-0.151134191977919,-0.153945263168916,-0.345415834285242,0.038948272234771
"283",5590,-0.15784322205561,-0.160493634858209,-0.350376917064238,0.0330586399859266
"284",5610,-0.164917090758296,-0.167306866549864,-0.358922215586057,0.0263672019803699
"285",5630,-0.171514664181389,-0.173642541427951,-0.364753975177722,0.0262710987870924
"286",5650,-0.17764252338964,-0.179511145550591,-0.369589645908919,0.0195044100403789
"287",5670,-0.183330731692111,-0.184943126478853,-0.37350572091453,0.0142698567056731
"288",5690,-0.188609352397864,-0.189968931773808,-0.379914370045752,0.00879435480628107
"289",5710,-0.193508448815964,-0.194619008996528,-0.384543465812993,0.00544892440806494
"290",5730,-0.198058084255473,-0.198923805708083,-0.389929485174209,0.00072855607848922
"291",5750,-0.202288322025454,-0.202913769469544,-0.393684833238872,-0.00450306575395594
"292",5770,-0.20622922543497,-0.206619347841981,-0.398429886001273,-0.00711701882581314
"293",5790,-0.209910857793085,-0.210070988386466,-0.401159195248676,-0.0115569461964879
"294",5810,-0.213363282408861,-0.213299138664069,-0.403311821700712,-0.0150316318766748
"295",5830,-0.216616562591361,-0.216334246235862,-0.406905375314635,-0.0164490532037719
"296",5850,-0.219700761649649,-0.219206758662914,-0.406456426775402,-0.0179824902620042
"297",5870,-0.222645942892788,-0.221947123506297,-0.41278172606973,-0.020928080684192
"298",5890,-0.22548216962984,-0.224585788327082,-0.415658707343154,-0.0240803466568407
"299",5910,-0.228239505169869,-0.227153876767089,-0.418057387289358,-0.029797688515746
"300",5930,-0.230948012821937,-0.229682493571026,-0.42090492462695,-0.0347278763420008
"301",5950,-0.233637755895109,-0.232203639830867,-0.422831623257216,-0.0410608763334961
"302",5970,-0.236338797698446,-0.234752247588843,-0.424727650828927,-0.0511067060264344
"303",5990,-0.239180832944286,-0.237476322556612,-0.425019830616569,-0.0571259567663482
"304",6010,-0.24226500913247,-0.24047443828913,-0.427035478762448,-0.0618081011191242
"305",6030,-0.245578568753315,-0.243731172913367,-0.428769906038444,-0.0666811910798672
"306",6050,-0.249108754297138,-0.247231104556295,-0.432941287320024,-0.072007594679853
"307",6070,-0.252842808254256,-0.250958811344888,-0.435839143332853,-0.0772499244389278
"308",6090,-0.256767973114986,-0.254898871406115,-0.435304156405164,-0.0824117006597404
"309",6110,-0.260871491369646,-0.259035862866951,-0.438563874929224,-0.0871468288856757
